CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS,season_id,season_type
201577,Robin Lopez,1610612757,POR,C,26.0,82,82,0.488,3.66,7.83,0.467,0.594,-0.127,2013-14,Regular%20Season
201586,Serge Ibaka,1610612760,OKC,F-C,24.0,81,81,0.489,3.74,7.67,0.488,0.599,-0.111,2013-14,Regular%20Season
2200,Pau Gasol,1610612747,LAL,C-F,33.0,60,60,0.518,4.53,7.58,0.598,0.603,-0.005,2013-14,Regular%20Season
201599,DeAndre Jordan,1610612746,LAC,C,25.0,82,82,0.452,4.27,7.57,0.564,0.6,-0.037,2013-14,Regular%20Season
101162,Marcin Gortat,1610612764,WAS,C,30.0,80,79,0.494,4.08,7.55,0.54,0.597,-0.057,2013-14,Regular%20Season
201150,Spencer Hawes,1610612739,CLE,C,26.0,80,79,0.455,4.13,7.31,0.564,0.598,-0.034,2013-14,Regular%20Season
201567,Kevin Love,1610612750,MIN,F-C,25.0,77,77,0.464,4.53,7.04,0.644,0.601,0.043,2013-14,Regular%20Season
201579,Roy Hibbert,1610612754,IND,C,27.0,81,80,0.48,2.93,6.72,0.436,0.595,-0.159,2013-14,Regular%20Season
203083,Andre Drummond,1610612765,DET,C,20.0,81,79,0.508,3.74,6.68,0.56,0.59,-0.03,2013-14,Regular%20Season
1495,Tim Duncan,1610612759,SAS,F,38.0,74,74,0.506,3.42,6.62,0.516,0.603,-0.086,2013-14,Regular%20Season
201572,Brook Lopez,1610612751,BKN,C,26.0,17,17,0.431,2.94,6.59,0.446,0.589,-0.143,2013-14,Regular%20Season
200794,Paul Millsap,1610612737,ATL,F,29.0,73,73,0.438,3.77,6.56,0.574,0.596,-0.022,2013-14,Regular%20Season
202324,Derrick Favors,1610612762,UTA,C-F,22.0,73,73,0.48,3.41,6.34,0.538,0.597,-0.059,2013-14,Regular%20Season
202685,Jonas Valanciunas,1610612761,TOR,C,22.0,80,80,0.51,3.25,6.19,0.525,0.597,-0.072,2013-14,Regular%20Season
203101,Miles Plumlee,1610612756,PHX,C-F,25.0,80,80,0.551,3.33,6.19,0.537,0.599,-0.062,2013-14,Regular%20Season
2744,Al Jefferson,1610612766,CHA,C,29.0,72,72,0.435,3.61,6.03,0.599,0.593,0.006,2013-14,Regular%20Season
2730,Dwight Howard,1610612745,HOU,C-F,28.0,71,71,0.47,3.32,5.99,0.555,0.604,-0.049,2013-14,Regular%20Season
200746,LaMarcus Aldridge,1610612757,POR,F,28.0,69,69,0.39,3.22,5.87,0.548,0.6,-0.051,2013-14,Regular%20Season
2199,Tyson Chandler,1610612752,NYK,C,31.0,54,54,0.441,3.33,5.72,0.583,0.595,-0.013,2013-14,Regular%20Season
203076,Anthony Davis,1610612740,NOP,F-C,21.0,66,64,0.404,2.98,5.64,0.53,0.6,-0.071,2013-14,Regular%20Season
201149,Joakim Noah,1610612741,CHI,C,29.0,80,80,0.362,2.89,5.64,0.512,0.598,-0.086,2013-14,Regular%20Season
202326,DeMarcus Cousins,1610612758,SAC,C,23.0,70,68,0.438,3.07,5.63,0.546,0.601,-0.055,2013-14,Regular%20Season
2746,Josh Smith,1610612765,DET,F,28.0,77,77,0.405,3.01,5.57,0.541,0.598,-0.057,2013-14,Regular%20Season
101161,Amir Johnson,1610612761,TOR,F,27.0,76,75,0.468,3.01,5.5,0.548,0.597,-0.049,2013-14,Regular%20Season
202328,Greg Monroe,1610612765,DET,F-C,24.0,82,79,0.435,3.22,5.5,0.585,0.592,-0.007,2013-14,Regular%20Season
101106,Andrew Bogut,1610612744,GSW,C,29.0,66,66,0.483,2.74,5.5,0.499,0.601,-0.102,2013-14,Regular%20Season
201160,Jason Smith,1610612740,NOP,C-F,28.0,31,31,0.438,3.58,5.45,0.657,0.605,0.051,2013-14,Regular%20Season
203093,Terrence Jones,1610612745,HOU,F,22.0,75,72,0.416,3.25,5.43,0.6,0.598,0.002,2013-14,Regular%20Season
2547,Chris Bosh,1610612748,MIA,C-F,30.0,79,79,0.408,3.2,5.43,0.59,0.592,-0.002,2013-14,Regular%20Season
201143,Al Horford,1610612737,ATL,C-F,28.0,29,29,0.424,2.62,5.38,0.487,0.595,-0.108,2013-14,Regular%20Season
203096,Jared Sullinger,1610612738,BOS,C-F,22.0,74,72,0.45,3.16,5.38,0.588,0.588,0.0,2013-14,Regular%20Season
101112,Channing Frye,1610612756,PHX,F-C,31.0,82,81,0.423,3.18,5.35,0.595,0.595,-0.001,2013-14,Regular%20Season
202696,Nikola Vucevic,1610612753,ORL,C,23.0,57,57,0.42,3.11,5.32,0.584,0.6,-0.016,2013-14,Regular%20Season
201593,Nikola Pekovic,1610612750,MIN,C,28.0,54,53,0.423,3.15,5.28,0.596,0.604,-0.008,2013-14,Regular%20Season
1717,Dirk Nowitzki,1610612742,DAL,F,36.0,80,79,0.417,3.09,5.28,0.585,0.604,-0.019,2013-14,Regular%20Season
201188,Marc Gasol,1610612763,MEM,C,29.0,58,57,0.451,2.91,5.21,0.56,0.608,-0.048,2013-14,Regular%20Season
202336,Larry Sanders,1610612749,MIL,C,25.0,22,22,0.487,2.5,5.09,0.491,0.603,-0.112,2013-14,Regular%20Season
201583,Ryan Anderson,1610612740,NOP,F,26.0,22,22,0.395,3.32,5.05,0.658,0.594,0.064,2013-14,Regular%20Season
202683,Enes Freedom,1610612762,UTA,C,22.0,80,80,0.449,2.83,4.99,0.566,0.601,-0.034,2013-14,Regular%20Season
2549,Chris Kaman,1610612747,LAL,C,32.0,39,37,0.504,2.15,4.95,0.435,0.599,-0.164,2013-14,Regular%20Season
201941,Jordan Hill,1610612747,LAL,F-C,26.0,72,69,0.498,2.57,4.9,0.524,0.593,-0.069,2013-14,Regular%20Season
2216,Zach Randolph,1610612763,MEM,F,32.0,78,76,0.379,2.92,4.85,0.603,0.605,-0.002,2013-14,Regular%20Season
202389,Timofey Mozgov,1610612743,DEN,C,27.0,82,81,0.45,2.4,4.84,0.496,0.591,-0.095,2013-14,Regular%20Season
203089,John Henson,1610612749,MIL,C-F,23.0,69,69,0.461,2.74,4.81,0.569,0.595,-0.026,2013-14,Regular%20Season
101142,Ronny Turiaf,1610612750,MIN,C,31.0,31,29,0.56,2.29,4.81,0.477,0.597,-0.121,2013-14,Regular%20Season
101141,Ersan Ilyasova,1610612749,MIL,F,27.0,54,50,0.472,3.07,4.8,0.641,0.594,0.047,2013-14,Regular%20Season
201581,JJ Hickson,1610612743,DEN,C-F,25.0,69,68,0.417,2.94,4.72,0.623,0.596,0.026,2013-14,Regular%20Season
201933,Blake Griffin,1610612746,LAC,F,25.0,80,80,0.362,2.66,4.56,0.584,0.599,-0.015,2013-14,Regular%20Season
2585,Zaza Pachulia,1610612749,MIL,C,30.0,52,49,0.469,2.77,4.48,0.618,0.596,0.022,2013-14,Regular%20Season
201152,Thaddeus Young,1610612755,PHI,F,26.0,79,79,0.337,2.87,4.46,0.645,0.592,0.053,2013-14,Regular%20Season
2743,Kris Humphries,1610612738,BOS,C-F,29.0,68,67,0.464,2.43,4.41,0.55,0.596,-0.046,2013-14,Regular%20Season
201600,Omer Asik,1610612745,HOU,C,27.0,48,47,0.488,2.17,4.38,0.495,0.599,-0.104,2013-14,Regular%20Season
202702,Kenneth Faried,1610612743,DEN,F,24.0,80,77,0.4,2.39,4.31,0.554,0.6,-0.047,2013-14,Regular%20Season
2760,Anderson Varejao,1610612739,CLE,C,31.0,65,65,0.434,2.34,4.25,0.551,0.584,-0.033,2013-14,Regular%20Season
2223,Samuel Dalembert,1610612742,DAL,C,34.0,80,74,0.548,2.26,4.25,0.532,0.608,-0.076,2013-14,Regular%20Season
200745,Andrea Bargnani,1610612752,NYK,C-F,28.0,42,41,0.367,2.57,4.24,0.607,0.605,0.002,2013-14,Regular%20Season
201175,Glen Davis,1610612746,LAC,F-C,28.0,68,63,0.413,2.31,4.19,0.551,0.583,-0.032,2013-14,Regular%20Season
203135,Robert Sacre,1610612747,LAL,C,25.0,64,61,0.491,2.28,4.16,0.549,0.588,-0.039,2013-14,Regular%20Season
202327,Ekpe Udoh,1610612749,MIL,F-C,27.0,41,38,0.457,2.39,4.12,0.58,0.593,-0.014,2013-14,Regular%20Season
101138,Brandon Bass,1610612738,BOS,F,29.0,82,77,0.381,2.41,4.12,0.586,0.59,-0.004,2013-14,Regular%20Season
2365,Chris Andersen,1610612748,MIA,F-C,35.0,72,70,0.532,2.15,4.11,0.524,0.59,-0.066,2013-14,Regular%20Season
200761,Shawne Williams,1610612747,LAL,F,28.0,34,33,0.465,2.29,4.09,0.561,0.588,-0.027,2013-14,Regular%20Season
2403,Nene,1610612764,WAS,F-C,31.0,53,53,0.352,2.55,4.08,0.625,0.594,0.031,2013-14,Regular%20Season
979,Jermaine O'Neal,1610612744,GSW,C-F,35.0,43,42,0.451,1.91,4.05,0.471,0.598,-0.127,2013-14,Regular%20Season
203156,Henry Sims,1610612755,PHI,C,24.0,40,38,0.435,2.4,4.05,0.593,0.6,-0.007,2013-14,Regular%20Season
101154,Andray Blatche,1610612751,BKN,C-F,27.0,72,70,0.471,2.43,4.03,0.603,0.596,0.007,2013-14,Regular%20Season
1882,Elton Brand,1610612737,ATL,F,35.0,71,70,0.491,2.11,4.01,0.526,0.587,-0.061,2013-14,Regular%20Season
2694,Josh Powell,1610612745,HOU,F,31.0,1,1,0.5,2.0,4.0,0.5,0.525,-0.025,2013-14,Regular%20Season
101135,David Lee,1610612744,GSW,F,31.0,68,68,0.308,2.31,4.0,0.577,0.606,-0.029,2013-14,Regular%20Season
202693,Markieff Morris,1610612756,PHX,F,24.0,81,76,0.391,2.6,3.98,0.655,0.599,0.056,2013-14,Regular%20Season
